ID,Fwy,Direction,District,CA PM,Abs PM,Lanes,Type,Length,Lat,Lng,Road Width,Lane Width,Inner Shoulder Width,Inner Shoulder Treated Width,Outer Shoulder Width,Outer Shoulder Treated Width,Design Speed Limit,Inner Median Width,Terrain,Population,Barrier,Surface
400268,84,NB,4,5.18,5.18,3,Mainline,0.6,37.255651,-121.858078,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,No Barriers,"Base & Surface >= 7"" Thick"
401555,84,NB,4,5.23,5.23,3,Mainline,0.48,37.255657,-121.858984,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,Bridge barrier Railing,Bridge Deck
400052,84,NB,4,6.14,6.14,3,Mainline,0.56,37.255791,-121.875479,36 ft,12.0 ft,13 ft,8 ft,10 ft,10 ft,70 mph,70 ft,Flat,Urbanized,Three Beam Barrier,Bridge Deck
400461,84,NB,4,6.34,6.34,3,Mainline,0.92,37.254781,-121.878917,36 ft,12.0 ft,13 ft,8 ft,10 ft,10 ft,70 mph,50 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400750,84,NB,4,7.97,7.97,3,Mainline,0.95,37.250746,-121.907763,36 ft,12.0 ft,14 ft,14 ft,10 ft,10 ft,70 mph,70 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400148,84,NB,4,8.23,8.23,3,Mainline,0.57,37.250664,-121.912479,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,60 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400336,84,NB,4,9.1,9.1,4,Mainline,0.6,37.250624,-121.928209,48 ft,12.0 ft,13 ft,8 ft,10 ft,10 ft,70 mph,50 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400713,84,NB,4,9.43,9.43,3,Mainline,0.6,37.251585,-121.934046,36 ft,12.0 ft,13 ft,8 ft,10 ft,10 ft,70 mph,66 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400485,84,NB,4,10.29,10.29,3,Mainline,0.61,37.254231,-121.949216,48 ft,12.0 ft,14 ft,14 ft,10 ft,10 ft,70 mph,48 ft,Flat,Urbanized,Three Beam Barrier,Concrete
400822,84,NB,4,10.47,10.646,3,Mainline,0.38,37.255715,-121.955375,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,53 ft,Flat,Urbanized,Three Beam Barrier,Concrete
