FID,X1,Y1,X2,Y2,Ind,coordinate,edgeInd,Route,Direction,HwyId,distance,joinCount,joinCoun_1,joinCoun_2,joinCoun_3,joinCoun_4,joinCoun_0,center_X,center_Y
"1,742","-164,828.962862999990000","-82,991.810270999995000","-164,607.138482000010000","-82,581.595730000001000","1,742.000000000000000","[[-164828.962863, -82991.810271, 0, 0], [-164775.0","1,737.000000000000000",87.000000000000000,N,83.000000000000000,499.999998989999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-164,650.937738000010000","-82,823.875813199993000"
"1,743","-164,607.138482000010000","-82,581.595730000001000","-164,602.735274000010000","-82,280.024183999994000","1,743.000000000000000","[[-164607.138482, -82581.59573, 0, 0], [-164602.73","1,738.000000000000000",87.000000000000000,N,83.000000000000000,301.630245199999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-164,603.118160999990000","-82,430.834202300000000"
"1,744","-164,602.735274000010000","-82,280.024183999994000","-164,601.453173999990000","-82,064.295784000002000","1,744.000000000000000","[[-164602.735274, -82280.024184, 0, 0], [-164601.9","1,742.000000000000000",87.000000000000000,N,85.000000000000000,215.734001439999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-164,602.262198999990000","-82,172.158220700003000"
"1,745","-164,504.412128000000000","-82,961.279605999996000","-164,640.415501999990000","-82,504.035910000006000","1,745.000000000000000","[[-164504.412128, -82961.279606, 0, 0], [-164550.0","1,741.000000000000000",87.000000000000000,S,84.000000000000000,499.999999350000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-164,632.666934999990000","-82,753.246214800005000"
"1,746","-164,640.415501999990000","-82,504.035910000006000","-164,636.249774000000000","-82,282.418084000004000","1,746.000000000000000","[[-164640.415502, -82504.03591, 0, 0], [-164636.24","1,740.000000000000000",87.000000000000000,S,84.000000000000000,221.656973929999990,2.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0,"-164,638.332637999990000","-82,393.226997000005000"
"1,747","-164,636.249774000000000","-82,282.418084000004000","-164,633.567274000000000","-82,132.814083999998000","1,747.000000000000000","[[-164636.249774, -82282.418084, 0, 0], [-164634.1","1,744.000000000000000",87.000000000000000,S,87.000000000000000,149.629574350000010,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-164,634.676627000010000","-82,207.619838099999000"
"1,748","-164,601.453173999990000","-82,064.295784000002000","-164,602.709674000010000","-82,021.902583999996000","1,748.000000000000000","[[-164601.453174, -82064.295784, 0, 0], [-164602.7","1,743.000000000000000",87.000000000000000,N,86.000000000000000,42.411816729999998,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-164,602.081424000000000","-82,043.099184000006000"
"1,749","-170,482.028674000000000","-69,699.563783999998000","-170,754.476273999990000","-69,582.365384000004000","1,749.000000000000000","[[-170482.028674, -69699.563784, 0, 0], [-170514.4","1,745.000000000000000",87.000000000000000,N,88.000000000000000,305.695872169999970,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-170,604.787518000000000","-69,612.835025699998000"
"1,750","-173,944.954334000010000","-64,598.270535000003000","-173,445.156053000010000","-64,584.408831000001000","1,750.000000000000000","[[-173944.954334, -64598.270535, 0, 0], [-173944.2","1,749.000000000000000",237.000000000000000,W,90.000000000000000,499.999999979999980,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-173,695.068086999990000","-64,590.935454799997000"
"1,751","-173,445.156053000010000","-64,584.408831000001000","-173,171.595374000000000","-64,580.613383999997000","1,751.000000000000000","[[-173445.156053, -64584.408831, 0, 0], [-173358.5","1,748.000000000000000",237.000000000000000,W,90.000000000000000,273.629896939999980,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-173,308.347810000010000","-64,583.441731600004000"
